creationTime,0,1,2,3,4,5,6,7,8,9,10
1522628352993,chicago/traffic-lane/798/thing/traffic-lane/1522628352993,,thing/traffic-lane,,31,-1,chicago/traffic-lane/798,-87.5850694771,41.7296111731,41.7369134537,-87.5852385693
1522628353082,chicago/traffic-lane/804/thing/traffic-lane/1522628353082,,thing/traffic-lane,,23,-1,chicago/traffic-lane/804,-87.5860344826,41.7733498484,41.7806524044,-87.5862545245
1522628353100,chicago/traffic-lane/765/thing/traffic-lane/1522628353100,,thing/traffic-lane,,17,-1,chicago/traffic-lane/765,-87.8055690991,41.9088375317,41.9161689398,-87.8058078034
1522628353138,chicago/traffic-lane/788/thing/traffic-lane/1522628353138,,thing/traffic-lane,,28,-1,chicago/traffic-lane/788,-87.6993974307,41.9905751568,41.9905195564,-87.7111087839
1522628353156,chicago/traffic-lane/797/thing/traffic-lane/1522628353156,,thing/traffic-lane,,29,-1,chicago/traffic-lane/797,-87.5849507392,41.722346361,41.7296111731,-87.5850694771
1522628353330,chicago/traffic-lane/1202/thing/traffic-lane/1522628353330,,thing/traffic-lane,,25,-1,chicago/traffic-lane/1202,-87.643376,41.736073,41.743359,-87.643641
1522628361079,chicago/traffic-lane/45/thing/traffic-lane/1522628361079,,thing/traffic-lane,,26,-1,chicago/traffic-lane/45,-87.7258968524,41.8953666789,41.9026704832,-87.7261884496
1522628361293,chicago/traffic-lane/20/thing/traffic-lane/1522628361293,,thing/traffic-lane,,13,-1,chicago/traffic-lane/20,-87.7204446212,41.6985611194,41.7059018917,-87.7207943736
1522628361483,chicago/traffic-lane/198/thing/traffic-lane/1522628361483,,thing/traffic-lane,,29,-1,chicago/traffic-lane/198,-87.7756143071,41.9093998422,41.909248873,-87.7849627555
1522628361587,chicago/traffic-lane/196/thing/traffic-lane/1522628361587,,thing/traffic-lane,,25,-1,chicago/traffic-lane/196,-87.7948024476,41.9091729382,41.9090033229,-87.8057579864
1522628361731,chicago/traffic-lane/180/thing/traffic-lane/1522628361731,,thing/traffic-lane,,18,-1,chicago/traffic-lane/180,-87.6256995376,41.7947803916,41.7946718587,-87.6311253178
1522628361904,chicago/traffic-lane/181/thing/traffic-lane/1522628361904,,thing/traffic-lane,,25,-1,chicago/traffic-lane/181,-87.6159795443,41.7949380152,41.7947803916,-87.6256995376
1522628361925,chicago/traffic-lane/207/thing/traffic-lane/1522628361925,,thing/traffic-lane,,21,-1,chicago/traffic-lane/207,-87.6872193134,41.9104580718,41.9103545465,-87.6970334998
1522628359868,chicago/traffic-lane/453/thing/traffic-lane/1522628359868,,thing/traffic-lane,,19,-1,chicago/traffic-lane/453,-87.6536930095,41.7505891635,41.7505652402,-87.6634686872
1522628360106,chicago/traffic-lane/100/thing/traffic-lane/1522628360106,,thing/traffic-lane,,20,-1,chicago/traffic-lane/100,-87.6628819511,41.7357887154,41.7430756949,-87.6630683582
1522628360336,chicago/traffic-lane/420/thing/traffic-lane/1522628360336,,thing/traffic-lane,,20,-1,chicago/traffic-lane/420,-87.6149102436,41.7512885566,41.7511042672,-87.6245246027
1522628360439,chicago/traffic-lane/101/thing/traffic-lane/1522628360439,,thing/traffic-lane,,15,-1,chicago/traffic-lane/101,-87.6630683582,41.7430756949,41.7503560091,-87.6632541367
1522628360658,chicago/traffic-lane/53/thing/traffic-lane/1522628360658,,thing/traffic-lane,,20,-1,chicago/traffic-lane/53,-87.7274333564,41.9536468185,41.9596128313,-87.7276617396
